OGLE-LMC-DPV-114 16.773 17.213   6.586601 0.000138 3395.35059 0.110  241.621  0.125 3239.813 0.250
OGLE-LMC-DPV-115 16.070 16.282   7.613359 0.000162 3392.63147 0.090  284.495  0.065 3176.705 0.424
OGLE-LMC-DPV-116 16.962 17.291   5.773005 0.000123 3398.79339 0.066  181.008  0.117 3367.299 0.114
OGLE-LMC-DPV-117 17.155 17.483   6.088766 0.000194 3398.97049 0.059  203.555  0.142 3359.417 0.119
OGLE-LMC-DPV-118 16.217 16.574   5.684674 0.000119 3396.95903 0.048  157.978  0.156 3379.703 0.049
OGLE-LMC-DPV-119 17.419 17.771   5.013304 0.000054 3398.58780 0.075  173.132  0.032 3247.156 0.242
OGLE-LMC-DPV-120 18.006 18.412   4.537234 0.000089 3399.66352 0.115  151.304  0.140 3304.078 0.142
OGLE-LMC-DPV-121 16.819 17.202   7.626962 0.000029 3396.76688 0.782  272.313  0.193 3262.150 0.279
OGLE-LMC-DPV-122 17.469 18.146   6.957449 0.000226 3399.60199 0.090  226.230  0.162 3318.395 0.195
OGLE-LMC-DPV-123 16.392 16.539  12.759272 0.000481 3387.46202 0.083  425.835  0.173 3376.251 0.294
OGLE-LMC-DPV-124 17.681 17.917   5.205741 0.000029 3395.21976 0.387  166.386  0.290 3308.417 0.075
OGLE-LMC-DPV-125 16.447 16.510   4.603362 0.000049 3399.80682 0.115  174.730  0.129 3341.190 0.101
OGLE-LMC-DPV-126 16.981 17.079   4.455435 0.000058  723.20699 0.100  158.597  0.238  700.582 0.042
OGLE-LMC-DPV-127 17.871 18.042   6.541000 0.000191  725.26071 0.061  229.284  0.495  544.985 0.022
OGLE-LMC-DPV-128 15.793 15.897   5.854120 0.000163  724.09703 0.038  156.750  0.125  665.423 0.052
OGLE-LMC-DPV-129 16.254 16.258   8.492821 0.000018  721.97349 0.932  272.698  0.406  502.697 0.017
OGLE-LMC-DPV-130 16.443 16.664   0.938690 0.000004  726.46001 0.053   48.647  0.014  678.371 0.044
OGLE-LMC-DPV-131 16.643 16.650   5.845751 0.000009  455.38435 0.692  175.053  0.209  298.097 0.039
OGLE-LMC-DPV-132 15.022 14.853   1.102957 0.000002  457.20374 0.047   29.107  0.006  448.209 0.006
OGLE-LMC-DPV-133 16.945 17.164   4.411997 0.000093  457.45868 0.035  154.835  0.167  448.912 0.034
OGLE-LMC-DPV-134 17.281 17.411   6.007267 0.000011  827.18623 0.573  215.541  0.209  772.866 0.086
OGLE-LMC-DPV-135 16.319 16.478   5.563396 0.000071  446.15231 0.077  191.247  0.121  402.736 0.080
OGLE-LMC-DPV-136 17.426 17.707   4.114306 0.000086  455.63825 0.023  154.468  0.097  347.630 0.043
OGLE-LMC-DPV-137 16.920 17.311   7.613052 0.000024  720.85120 0.387  269.466  0.767  661.208 0.039
